barcat -f'([.0-9]+)(?=,m)' t1320-earthquakes.in
time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-23T03:49:44.670Z,35.658,-117.5276667,10.29,1.35,ml,23,81,0.04926,0.18,ci,ci38852759,2019-09-23T13:05:33.560Z,"14km ENE of Ridgecrest, CA",earthquake,0.31,0.57,0.185,17,reviewed,ci,ci                                               
2019-09-23T03:20:13.650Z,35.6318333,-117.4446667,7.81,1.52,ml,27,81,0.03735,0.19,ci,ci38852743,2019-09-23T13:05:06.296Z,"16km SSW of Searles Valley, CA",earthquake,0.29,0.5,0.167,22,reviewed,ci,ci                                         
2019-09-23T03:09:14.438Z,66.3694,-149.8111,6, 1.2,ml,,,,0.82,ak,ak019c7yskqe,2019-09-23T03:17:04.112Z,"100km S of Coldfoot, Alaska",earthquake,,0.3,,,automatic,ak,ak                                                                        
2019-09-23T03:01:05.950Z,35.6433333,-117.4238333,8.82,1.43,ml,25,115,0.02174,0.2,ci,ci38852719,2019-09-23T03:11:39.260Z,"14km S of Searles Valley, CA",earthquake,0.39,0.59,0.153,15,automatic,ci,ci                                         
2019-09-23T02:52:18.670Z,35.93,-117.7141667,2.75,1.21,ml,18,48,0.05476,0.11,ci,ci38852711,2019-09-23T13:05:38.530Z,"17km E of Little Lake, CA",earthquake,0.16,0.26,0.143,15,reviewed,ci,ci                                                  
2019-09-23T02:45:03.500Z,19.4395008,-155.6073303,-0.75,1.94,md,29,98,0.01301,0.27,hv,hv71155602,2019-09-23T02:48:11.110Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.57,0.77,0.13,8,automatic,hv,hv                                   
2019-09-23T02:44:52.210Z,35.9630013,-117.3478317,1.88,1.27,ml,12,175,0.08894,0.18,ci,ci38852695,2019-09-23T02:48:53.919Z,"22km N of Trona, CA",earthquake,0.79,1.5,0.191,4,automatic,ci,ci                                                   
2019-09-23T02:44:33.700Z,35.6411667,-117.463,5.68,1.06,ml,26,55,0.03996,0.22,ci,ci38852687,2019-09-23T13:06:41.870Z,"15km SSW of Searles Valley, CA",earthquake,0.35,0.69,0.166,13,reviewed,ci,ci                                            
2019-09-23T02:31:16.260Z,36.0958333,-117.789,5.8,1.69,ml,20,109,0.05758,0.18,ci,ci38852663,2019-09-23T13:06:45.230Z,"15km ENE of Coso Junction, CA",earthquake,0.41,0.72,0.218,23,reviewed,ci,ci                                             
2019-09-23T02:27:16.900Z,36.06,-117.5238333,3.07,1.11,ml,17,63,0.02829,0.15,ci,ci38852655,2019-09-23T13:06:48.480Z,"34km NNW of Searles Valley, CA",earthquake,0.37,0.6,0.187,10,reviewed,ci,ci                                              
